标题,小区名称,价格,面积,户型
整租·夏县营街7号院 2室1厅 南/北,顺义-顺义其它-夏县营街7号院,2450 元/月,75.00㎡,/
整租·大红门35号院 1室1厅 南,精选,5230 元/月,丰台-角门-大红门35号院,/
整租·夏县营街7号院 1室1厅 南/北,顺义-顺义其它-夏县营街7号院,2100 元/月,50.00㎡,/
独栋·华润置地·有巢公寓 总部基地店 温馨舒适单人间 开间,仅剩2间,2962 元/月,25.00㎡,/
整租·广渠路 2室1厅 南,朝阳-双井-广渠路,7350 元/月,66.90㎡,/
独栋·华润置地·有巢公寓 总部基地店 近地铁 可月付 开间,25.00㎡,3118-3171 元/月,/,/7间在租
整租·紫运中路28号院 2室1厅 南,通州-通州其它-紫运中路28号院,4600 元/月,98.00㎡,/
独栋·魔方公寓 北京紫竹院店 海淀近6号线长租特价，毕业生免押金 1室1厅,仅剩2间,6400-6600 元/月,25.00-30.00㎡,/
整租·汇锦苑 2室1厅 西南,丰台-青塔-汇锦苑,5200 元/月,78.00㎡,/
独栋·冠寓 北京回龙观店 学生实习整租可月付 开间,21.00-22.00㎡,3798-3994 元/月,/,/7间在租
整租·友谊嘉园三期 2室1厅 南/北,海淀-海淀北部新区-友谊嘉园三期,6500 元/月,85.00㎡,/
独栋·冠寓 北京回龙观店 毕业生专享特价房 开间,仅剩5间,3966 元/月,23.00㎡,/
整租·向阳东里 2室1厅 南/北,门头沟-城子-向阳东里,3400 元/月,65.47㎡,/
独栋·柚米国际社区 北京国展店 毕业生限时免押金后沙峪特价月付，近首都机场花梨坎 1室1厅,仅剩2间,1737-2300 元/月,22.00-25.00㎡,/
整租·曙光里 1室1厅 南,朝阳-三元桥-曙光里,5000 元/月,40.50㎡,/
整租·柏林爱乐二期 1室0厅 北,朝阳-常营-柏林爱乐二期,4000 元/月,49.00㎡,/
整租·板桥南街7号院 1室1厅 南,顺义-顺义其它-板桥南街7号院,2200 元/月,54.00㎡,/
独栋·冠寓 总部基地店 汉威诺德大开间 开间,37.00㎡,3299 元/月,/,/20间在租
整租·万科紫苑 2室1厅 南/北,丰台-青塔-万科紫苑,7800 元/月,95.00㎡,/
整租·天通苑东一区 2室1厅 东北,昌平-天通苑-天通苑东一区,6200 元/月,98.00㎡,/
整租·安贞西里 2室1厅 南/北,朝阳-安贞-安贞西里,7000 元/月,60.00㎡,/
独栋·冠寓 郭公庄地铁站店 商旅短租精选F2户型 开间,20.07㎡,3286 元/月,/,/30间在租
整租·金泰城丽湾 1室1厅 东北,丰台-菜户营-金泰城丽湾,6500 元/月,60.00㎡,/
独栋·冠寓 郭公庄地铁站店 精选阳光大开间B1 开间,37.00㎡,3864 元/月,/,/14间在租
整租·沙子口路70号 2室1厅 南,东城-永定门-沙子口路70号,6000 元/月,66.61㎡,/
独栋·柚米国际社区 北京国展店 15号线复式两居特惠毕业生双人入住立减520，限时免押金 2室1厅,仅剩2间,3998-4430 元/月,50.00-55.00㎡,/
整租·华严北里8号院 2室1厅 南,朝阳-健翔桥-华严北里8号院,7500 元/月,83.00㎡,/
独栋·柚米国际社区 南法信地铁站 毕业季特惠价直达望京免1个月租金 1室1厅,仅剩2间,3400-3654 元/月,35.00㎡,/
整租·翠微南里 1室1厅 西,海淀-公主坟-翠微南里,4800 元/月,36.00㎡,/
整租·东风苑小区6号院 2室1厅 西南,朝阳-朝阳公园-东风苑小区6号院,8400 元/月,79.70㎡,/
整租·夏县营街7号院 1室1厅 南/北,顺义-顺义其它-夏县营街7号院,2100 元/月,50.00㎡,/
独栋·柚米国际社区 新国展店 15号线旁两室整租首月免租金可月付 2室1厅,仅剩2间,4038-4430 元/月,60.00㎡,/
整租·安化北里 1室1厅 北,东城-广渠门-安化北里,6280 元/月,58.26㎡,/
独栋·冠寓 郭公庄地铁站店 可短租C2户型 1室1厅,仅剩2间,4519 元/月,39.11㎡,/
整租·芳群园三区 2室1厅 南,丰台-方庄-芳群园三区,5000 元/月,60.00㎡,/
独栋·城家公寓 马甸黄寺大街店 近安华桥站、可月付 开间,仅剩2间,4950-5050 元/月,28.57-30.00㎡,/
整租·南竺园 2室1厅 南/北,顺义-首都机场-南竺园,3600 元/月,72.00㎡,/
独栋·城家公寓 龙旗广场育新地铁站店 二居室、带落地窗直租 2室0厅,仅剩1间,4850 元/月,54.00㎡,/
整租·星河城东区 2室1厅 南,丰台-马家堡-星河城东区,9500 元/月,107.31㎡,/
独栋·城家公寓 城家公寓北京总部基地海鹰路店 精装独卫、支持月付 开间,仅剩2间,3250-3500 元/月,18.60㎡,/
整租·三山新新家园 2室1厅 南/北,顺义-后沙峪-三山新新家园,4800 元/月,73.66㎡,/
独栋·城家公寓 龙旗广场育新地铁站店 近地铁 可短租月付 开间,仅剩4间,4850 元/月,44.00㎡,/
整租·石园东区 2室1厅 南/北,顺义-顺义城-石园东区,3100 元/月,67.00㎡,/
独栋·城家公寓 龙旗广场育新地铁站店 押一付一无中介费 开间,仅剩1间,3200 元/月,24.00㎡,/
整租·芍药居北里 2室1厅 南/北,朝阳-芍药居-芍药居北里,6500 元/月,66.77㎡,/
整租·首科花园 2室1厅 西南,丰台-太平桥-首科花园,7500 元/月,98.43㎡,/
整租·观景园 2室1厅 南/北,海淀-清河-观景园,7900 元/月,90.00㎡,/
独栋·冠寓 北京新国展店 长租免住30天 开间,仅剩3间,1873-2247 元/月,14.00-16.00㎡,/
整租·福苑小区 2室1厅 南/北,大兴-大兴其它-福苑小区,3894 元/月,86.00㎡,/
整租·青塔东里 2室1厅 南/北,丰台-青塔-青塔东里,5000 元/月,57.75㎡,/
