所属区域,小区名称,价格,房屋面积,户型
"朝阳-惠新西街-小关东里10号院
/
        40.00㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·小关东里10号院 1室1厅 南,6405 元/月,,"精装
集中供暖
押一付一
随时看房
首次出租"
"精选          /
丰台-西罗园-西罗园南里
/
        56.22㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·西罗园南里 2室1厅 南,5730 元/月,,"新上
公寓
精装
集中供暖
押一付一
随时看房"
"大兴-西红门-鸿坤理想城八期
/
        73.87㎡
        /南        /
          2室2厅1卫        
/
          高楼层                        （24层）",整租·鸿坤理想城八期 2室2厅 南,4500 元/月,,"新上
精装
押一付一
随时看房
首次出租"
"仅剩5间
/
                54.00-55.00㎡
        /5间在租        /
        1室1厅1卫",独栋·柠檬晓生活国际公寓 7号线黄厂站店 超大落地窗 1室1厅,3850-4128 元/月,,"独栋公寓
近地铁
精装
有阳台
开放厨房
押一付一"
"丰台-草桥-草桥矿冶小区
/
        60.00㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （24层）",整租·草桥矿冶小区 1室1厅 南,5510 元/月,,"新上
近地铁
精装
集中供暖
押一付一
随时看房
首次出租"
"28.00㎡
        /6间在租        /
        1室0厅1卫",独栋·冠寓 郭公庄地铁站店 万达总部基地永旺F1 开间,3368 元/月,,"独栋公寓
月租
近地铁
精装
有阳台
开放厨房
押一付一"
"昌平-沙河-北京城建畅悦居
/
        71.88㎡
        /东北        /
          1室1厅1卫        
/
          高楼层                        （21层）",整租·北京城建畅悦居 1室1厅 东北,4200 元/月,,"官方核验
业主自荐
新上
精装
集中供暖"
"仅剩2间
/
                39.11㎡
        /2间在租        /
        1室1厅1卫",独栋·冠寓 郭公庄地铁站店 可短租C2户型 1室1厅,4519 元/月,,"独栋公寓
月租
近地铁
精装
开放厨房
押一付一"
"朝阳-望京-华樾北京一期
/
        89.00㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （18层）",整租·华樾北京一期 3室1厅 南/北,8800 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"仅剩1间
/
                46.90㎡
        /1间在租        /
        1室0厅1卫",独栋·冠寓 北京大瓦窑店 特惠复式大户型可月付 开间,3802 元/月,,"独栋公寓
月租
精装
开放厨房"
"通州-通州其它-次渠嘉园
/
        74.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （27层）",整租·次渠嘉园 2室1厅 南/北,4300 元/月,,"官方核验
业主自荐
精装
集中供暖
随时看房"
"28.00-32.00㎡
        /8间在租        /
        1室0厅1卫",独栋·冠寓 北京回龙观店 滴网易米百度大厂优惠 开间,4059-4459 元/月,,"独栋公寓
月租
精装
押一付一"
"大兴-黄村火车站-车站北里
/
        58.24㎡
        /东 西        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·车站北里 2室1厅 东/西,3500 元/月,,"官方核验
近地铁
集中供暖"
"25.00㎡
        /7间在租        /
        1室0厅1卫",独栋·华润置地·有巢公寓 总部基地店 近地铁 可月付 开间,3118-3171 元/月,,"独栋公寓
近地铁
精装
开放厨房"
"朝阳-十里堡-八里庄南里
/
        49.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·八里庄南里 2室1厅 南/北,6300 元/月,,"官方核验
近地铁
精装
集中供暖"
"亦庄开发区-亦庄-国融国际
/
        72.00㎡
        /南        /
          1室1厅2卫        
/
          高楼层                        （21层）",整租·国融国际 1室1厅 南,5200 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"海淀-世纪城-晨月园
/
        61.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （17层）",整租·晨月园 1室1厅 南,7800 元/月,,"官方核验
精装
集中供暖
随时看房"
"仅剩3间
/
                39.00㎡
        /3间在租        /
        1室0厅1卫",独栋·冠寓 北京大瓦窑店 可短租一居特惠 开间,3286 元/月,,"独栋公寓
月租
精装
开放厨房"
"海淀-定慧寺-恩济里小区
/
        73.60㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·恩济里小区 2室1厅 南/北,6000 元/月,,"官方核验
集中供暖
随时看房"
"海淀-海淀其它-麓景嘉园南里
/
        85.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·麓景嘉园南里 2室1厅 南/北,4700 元/月,,"官方核验
新上
集中供暖"
"东城-建国门内-外交部街33号院
/
        36.39㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （6层）",整租·外交部街33号院 1室1厅 南,7000 元/月,,"官方核验
新上
近地铁
集中供暖"
"仅剩1间
/
                49.00㎡
        /1间在租        /
        1室1厅1卫",独栋·魔尔公寓 北京郎园店 798复式长租特惠 1室1厅,6700 元/月,,"独栋公寓
月租
精装
开放厨房
押一付一"
"丰台-玉泉营-鸿业兴园一区
/
        95.00㎡
        /东南 南        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·鸿业兴园一区 2室1厅 东南/南,7500 元/月,,官方核验
"仅剩2间
/
                23.00㎡
        /2间在租        /
        1室1厅1卫",独栋·柚米国际社区 北京空港店 南法信特惠房可短租，押一付一近机场物流园 1室1厅,2239-2537 元/月,,"独栋公寓
月租
近地铁
精装
开放厨房
押一付一"
"海淀-甘家口-阜成路8号院
/
        38.40㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （6层）",整租·阜成路8号院 1室1厅 南,6400 元/月,,"官方核验
近地铁
精装
集中供暖"
"仅剩2间
/
                22.00-25.00㎡
        /2间在租        /
        1室1厅1卫",独栋·柚米国际社区 北京空港店 直达望京特价可短租，无中介近后沙峪15号线 1室1厅,2239-2537 元/月,,"独栋公寓
月租
近地铁
精装
开放厨房
押一付一"
"通州-临河里-DBC加州小镇
/
        106.22㎡
        /南 北        /
          2室2厅1卫        
/
          中楼层                        （11层）",整租·DBC加州小镇 2室2厅 错层 南/北,5100 元/月,,"官方核验
近地铁
精装"
"仅剩3间
/
                25.00㎡
        /3间在租        /
        1室0厅1卫",独栋·柚米国际社区 南法信地铁站 毕业季特惠活动免押金月付租金朝南一室 开间,2220-2680 元/月,,"独栋公寓
月租
近地铁
精装
开放厨房
押一付一"
"西城-木樨地-西便门东里
/
        44.00㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （16层）",整租·西便门东里 1室1厅 东,6800 元/月,,"官方核验
新上
精装
集中供暖"
"仅剩1间
/
                60.00㎡
        /1间在租        /
        2室1厅1卫",独栋·柚米国际社区 旭辉26街区店3号楼 特惠价免租一个月房租 2室1厅,3988 元/月,,"独栋公寓
月租
近地铁
精装
开放厨房
押一付一"
"西城-木樨地-西便门东里
/
        44.00㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （16层）",整租·西便门东里 1室1厅 东,6800 元/月,,"官方核验
新上
精装
集中供暖"
"仅剩2间
/
                18.00㎡
        /2间在租        /
        1室0厅1卫",独栋·融寓 黄寺大街店 悠享豁亮一居 开间,5920 元/月,,"独栋公寓
月租
近地铁
精装
有阳台
开放厨房"
"丰台-青塔-广安﹒康馨家园
/
        55.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·广安﹒康馨家园 1室1厅 南,4500 元/月,,"官方核验
业主自荐
新上
精装
集中供暖
随时看房"
"精选          /
大兴-高米店-星光拓诚之华远西红世商业
/
        48.04㎡
        /北        /
          2室1厅1卫        
/
          中楼层                        （10层）",整租·星光拓诚之华远西红世商业 2室1厅 北,4890 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-国展-静安里
/
        65.00㎡
        /西南        /
          2室1厅1卫        
/
          中楼层                        （14层）",整租·静安里 2室1厅 西南,7000 元/月,,"官方核验
业主自荐
新上
近地铁
精装
集中供暖"
"精选          /
海淀-中关村-荣上居
/
        52.66㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·荣上居 1室1厅 东,8090 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"东城-崇文门-国瑞城东区
/
        60.84㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （15层）",整租·国瑞城东区 1室1厅 南,8200 元/月,,"官方核验
业主自荐
新上
精装
集中供暖"
"精选          /
海淀-小西天-五月华庭
/
        37.49㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （12层）",整租·五月华庭 1室1厅 南,6190 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"丰台-马家堡-星河城东区
/
        68.00㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （20层）",整租·星河城东区 1室1厅 东,6800 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
海淀-紫竹桥-首体宿舍
/
        38.10㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （6层）",整租·首体宿舍 1室1厅 南,6460 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-二里庄-志新村
/
        50.90㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （18层）",整租·志新村 1室1厅 南,6500 元/月,,"官方核验
业主自荐
新上
精装
集中供暖"
"精选          /
丰台-玉泉营-万年花城三期
/
        53.25㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （16层）",整租·万年花城三期 1室1厅 南,6330 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-甘家口-阜成路8号院
/
        82.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （3层）",整租·阜成路8号院 3室1厅 南/北,13000 元/月,,"官方核验
业主自荐
新上
近地铁
精装
集中供暖"
"精选          /
丰台-花乡-天伦锦城
/
        90.66㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （11层）",整租·天伦锦城 2室1厅 南,6260 元/月,,"公寓
精装
押一付一
随时看房"
